username,followers_count,following_count,posts_count,engagement_rate,avg_views,avg_likes,avg_comments,avg_shares,avg_saves,followers_14d_ago,followers_growth_14d,followers_growth_rate_14d,posts_count_14d,is_verified
morgane.muah,10864,1777,535,0.58,217,57,5,3,4,10864,0,0.0,0,false
the.cooooon,1053,3004,33,8.78,318,88,3,4,7,1053,0,0.0,0,false
loutfisouidi,5992,7467,651,2.74,570,161,2,8,13,5992,0,0.0,0,false
afterwork_atelier,40936,7451,443,0.22,315,87,3,4,7,40936,0,0.0,0,false
karimkaissoumi,9862,4921,197,2.63,903,247,11,12,20,9835,27,0.27,0,false
yasmean,6479,3100,0,0.0,0,0,0,0,0,6479,0,0.0,0,false
naileadevora,4484027,543,112,5.49,860895,245704,266,12298,19677,4495027,-11000,-0.24,0,false
sheistilila,106827,3167,21,0.87,3258,839,92,46,74,107013,-186,-0.17,0,false
raniabouzoubaa,5210,1965,413,2.29,413,115,3,5,9,5218,-8,-0.15,0,false
sofabrik_bysophiarzal,6174,2223,551,0.68,143,40,1,2,3,6174,0,0.0,0,false
psycho.moustache,40626,6778,342,0.0,0,0,0,0,0,40617,9,0.02,0,false
